State/UT,State
Andaman & Nicobar Island ,andaman-and-nicobar-islands
Andhra Pradesh  ,andhra-pradesh
Arunachal Pradesh ,arunachal-pradesh
Assam,assam
Bihar ,bihar
Chandigarh ,chandigarh
Chhattisgarh ,chhattisgarh
Dadra & Nagar Haveli ,dadra-and-nagar-haveli
Daman & Diu ,daman-and-diu
Delhi,delhi
Goa,goa
Gujrat ,gujarat
Haryana,haryana
Himachal Pradesh  ,himachal-pradesh
Jharkhand,jammu-and-kashmir
J&K ,jharkhand
Karnataka ,karnataka
Kerala ,kerala
Lakshadweep,ladakh
Ladakh,lakshadweep
Madhya Pradesh ,madhya-pradesh
Maharashtra,maharashtra
Manipur ,manipur
Meghalaya,meghalaya
Mizoram,mizoram
Nagaland ,nagaland
Odisha ,odisha
Puducherry ,puducherry
Punjab ,punjab
Rajasthan  ,rajasthan
Sikkim,sikkim
Tamil Nadu,tamil-nadu
Telengana,telangana
Tripura ,tripura
Uttar Pradesh ,uttar-pradesh
Uttarakhand ,uttarakhand
West Bengal ,west-bengal
